Symbol,Company,GICS Sector,GICS Sub-Industry,Headquarters Location,SEC filings,CIK
WT,"WisdomTree Investments, Inc.",Financials,Asset Management & Custody Banks,"New York City, New York",view,880631
WU,Western Union,Financials,Transaction & Payment Processing Services,"Denver, Colorado",view,1365135
WWW,"Wolverine World Wide, Inc.",Consumer Discretionary,Footwear,"Rockford, Michigan",view,110471
XHR,"Xenia Hotels & Resorts, Inc.",Real Estate,Hotel & Resort REITs,"Orlando, Florida",view,1616000
XNCR,Xencor Inc,Health Care,Biotechnology,"Pasadena, California",view,1326732
XPEL,"XPEL, Inc.",Consumer Discretionary,Automotive Parts & Equipment,"San Antonio, Texas",view,1767258
YELP,"Yelp, Inc.",Communication Services,Interactive Media & Services,"San Francisco, California",view,1345016
YOU,"Clear Secure, Inc.",Information Technology,Application Software,"New York City, New York",view,1856314
ZD,Ziff Davis,Communication Services,Advertising,"New York City, New York",view,1084048
ZWS,Zurn Elkay Water Solutions Corp.,Industrials,Industrial Machinery & Supplies & Components,"Milwaukee, Wisconsin",view,1439288
